Name,Child Of,Points,Eats,Feet,Inches,Weight,Strength,Hit Points,Dexterity,Will Power,Intelligence,Perception,Health,Fatigue,Damage Resistance,Speed,Basic Lift,Basic Move,Basic Dodge
36,2,13,carnivore,15.000000,0.000000,6085.061523,14.000000,9.000000,12.000000,13.000000,13.000000,6.000000,9.000000,10.000000,0.000000,0.250000,39.000000,2.000000,4.000000,
38,4,19,carnivore,15.000000,0.000000,6085.061523,12.000000,12.000000,14.000000,8.000000,9.000000,5.000000,12.000000,10.000000,0.000000,2.000000,28.000000,4.000000,7.000000,
40,4,19,carnivore,15.000000,0.000000,6085.061523,12.000000,12.000000,14.000000,8.000000,9.000000,5.000000,12.000000,10.000000,0.000000,2.000000,28.000000,4.000000,7.000000,
31,1,9,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,12.000000,6.000000,7.000000,8.000000,8.000000,10.000000,0.000000,5.500000,28.000000,5.000000,8.000000,
33,1,9,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,12.000000,6.000000,7.000000,8.000000,8.000000,10.000000,0.000000,5.500000,28.000000,5.000000,8.000000,
35,3,17,herbivore,9.000000,0.000000,757.724487,12.000000,7.000000,11.000000,5.000000,8.000000,11.000000,7.000000,10.000000,0.000000,4.750000,28.000000,5.000000,8.000000,
37,3,17,herbivore,9.000000,0.000000,757.724487,12.000000,7.000000,11.000000,5.000000,8.000000,11.000000,7.000000,10.000000,0.000000,4.750000,28.000000,5.000000,8.000000,
39,5,17,herbivore,9.000000,0.000000,757.724487,12.000000,7.000000,11.000000,5.000000,8.000000,11.000000,7.000000,10.000000,0.000000,4.750000,28.000000,5.000000,8.000000,
41,5,17,herbivore,9.000000,0.000000,757.724487,12.000000,7.000000,11.000000,5.000000,8.000000,11.000000,7.000000,10.000000,0.000000,4.750000,28.000000,5.000000,8.000000,
42,0,2,carnivore,21.000000,0.000000,23999.984375,11.000000,12.000000,17.000000,7.000000,7.000000,5.000000,12.000000,10.000000,0.000000,2.250000,24.000000,5.000000,8.000000,
44,0,2,carnivore,21.000000,0.000000,23999.984375,11.000000,12.000000,17.000000,7.000000,7.000000,5.000000,12.000000,10.000000,0.000000,2.250000,24.000000,5.000000,8.000000,
46,32,0,carnivore,21.000000,0.000000,23999.984375,12.000000,10.000000,17.000000,8.000000,7.000000,7.000000,10.000000,10.000000,0.000000,1.750000,28.000000,4.000000,7.000000,
48,32,0,carnivore,21.000000,0.000000,23999.984375,12.000000,10.000000,17.000000,8.000000,7.000000,7.000000,10.000000,10.000000,0.000000,1.750000,28.000000,4.000000,7.000000,
50,4,1,carnivore,21.000000,0.000000,23999.984375,12.000000,11.000000,15.000000,8.000000,9.000000,5.000000,11.000000,10.000000,0.000000,2.500000,28.000000,5.000000,8.000000,
52,4,1,carnivore,21.000000,0.000000,23999.984375,12.000000,11.000000,15.000000,8.000000,9.000000,5.000000,11.000000,10.000000,0.000000,2.500000,28.000000,5.000000,8.000000,
43,1,6,herbivore,6.000000,0.000000,144.999954,13.000000,9.000000,12.000000,6.000000,6.000000,7.000000,9.000000,10.000000,0.000000,5.500000,33.000000,5.000000,8.000000,
45,1,6,herbivore,6.000000,0.000000,144.999954,13.000000,9.000000,12.000000,6.000000,6.000000,7.000000,9.000000,10.000000,0.000000,5.500000,33.000000,5.000000,8.000000,
47,33,6,herbivore,6.000000,0.000000,144.999954,13.000000,9.000000,12.000000,6.000000,6.000000,7.000000,9.000000,10.000000,0.000000,5.500000,33.000000,5.000000,8.000000,
49,33,6,herbivore,6.000000,0.000000,144.999954,13.000000,9.000000,12.000000,6.000000,6.000000,7.000000,9.000000,10.000000,0.000000,5.500000,33.000000,5.000000,8.000000,
51,5,1,herbivore,6.000000,0.000000,144.999954,12.000000,7.000000,10.000000,6.000000,8.000000,10.000000,7.000000,10.000000,0.000000,5.000000,28.000000,5.000000,8.000000,
53,5,1,herbivore,6.000000,0.000000,144.999954,12.000000,7.000000,10.000000,6.000000,8.000000,10.000000,7.000000,10.000000,0.000000,5.000000,28.000000,5.000000,8.000000,
54,0,1,carnivore,21.000000,0.000000,23999.984375,12.000000,13.000000,16.000000,6.000000,8.000000,5.000000,13.000000,10.000000,0.000000,2.250000,28.000000,5.000000,8.000000,
56,0,1,carnivore,21.000000,0.000000,23999.984375,12.000000,13.000000,16.000000,6.000000,8.000000,5.000000,13.000000,10.000000,0.000000,2.250000,28.000000,5.000000,8.000000,
58,32,4,carnivore,21.000000,0.000000,23999.984375,13.000000,10.000000,18.000000,6.000000,5.000000,7.000000,10.000000,10.000000,0.000000,2.000000,33.000000,5.000000,8.000000,
60,32,4,carnivore,21.000000,0.000000,23999.984375,13.000000,10.000000,18.000000,6.000000,5.000000,7.000000,10.000000,10.000000,0.000000,2.000000,33.000000,5.000000,8.000000,
62,4,1,carnivore,21.000000,0.000000,23999.984375,12.000000,10.000000,14.000000,9.000000,11.000000,6.000000,10.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
64,4,1,carnivore,21.000000,0.000000,23999.984375,12.000000,10.000000,14.000000,9.000000,11.000000,6.000000,10.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
55,1,5,herbivore,6.000000,0.000000,144.999954,14.000000,9.000000,11.000000,6.000000,6.000000,8.000000,9.000000,10.000000,0.000000,5.250000,39.000000,5.000000,8.000000,
57,1,5,herbivore,6.000000,0.000000,144.999954,14.000000,9.000000,11.000000,6.000000,6.000000,8.000000,9.000000,10.000000,0.000000,5.250000,39.000000,5.000000,8.000000,
59,33,7,herbivore,6.000000,0.000000,144.999954,14.000000,11.000000,10.000000,5.000000,5.000000,6.000000,11.000000,10.000000,0.000000,5.750000,39.000000,5.000000,8.000000,
61,33,7,herbivore,6.000000,0.000000,144.999954,14.000000,11.000000,10.000000,5.000000,5.000000,6.000000,11.000000,10.000000,0.000000,5.750000,39.000000,5.000000,8.000000,
63,5,8,herbivore,6.000000,0.000000,144.999954,11.000000,8.000000,9.000000,7.000000,9.000000,12.000000,8.000000,10.000000,0.000000,5.000000,24.000000,5.000000,8.000000,
65,5,8,herbivore,6.000000,0.000000,144.999954,11.000000,8.000000,9.000000,7.000000,9.000000,12.000000,8.000000,10.000000,0.000000,5.000000,24.000000,5.000000,8.000000,
66,0,0,carnivore,21.000000,0.000000,23999.984375,12.000000,13.000000,15.000000,7.000000,10.000000,5.000000,13.000000,10.000000,0.000000,1.750000,28.000000,4.000000,7.000000,
68,0,0,carnivore,21.000000,0.000000,23999.984375,12.000000,13.000000,15.000000,7.000000,10.000000,5.000000,13.000000,10.000000,0.000000,1.750000,28.000000,4.000000,7.000000,
70,32,3,carnivore,9.000000,0.000000,757.724487,14.000000,9.000000,18.000000,5.000000,5.000000,6.000000,9.000000,10.000000,0.000000,2.000000,39.000000,3.000000,6.000000,
72,32,3,carnivore,9.000000,0.000000,757.724487,14.000000,9.000000,18.000000,5.000000,5.000000,6.000000,9.000000,10.000000,0.000000,2.000000,39.000000,3.000000,6.000000,
74,4,6,carnivore,21.000000,0.000000,23999.984375,12.000000,9.000000,15.000000,9.000000,10.000000,6.000000,9.000000,10.000000,0.000000,1.750000,28.000000,4.000000,7.000000,
76,4,6,carnivore,21.000000,0.000000,23999.984375,12.000000,9.000000,15.000000,9.000000,10.000000,6.000000,9.000000,10.000000,0.000000,1.750000,28.000000,4.000000,7.000000,
67,1,6,herbivore,6.000000,0.000000,144.999954,14.000000,10.000000,11.000000,5.000000,5.000000,8.000000,10.000000,10.000000,0.000000,5.500000,39.000000,5.000000,8.000000,
69,1,6,herbivore,6.000000,0.000000,144.999954,14.000000,10.000000,11.000000,5.000000,5.000000,8.000000,10.000000,10.000000,0.000000,5.500000,39.000000,5.000000,8.000000,
71,33,3,herbivore,6.000000,0.000000,144.999954,13.000000,11.000000,11.000000,5.000000,5.000000,8.000000,11.000000,10.000000,0.000000,5.500000,33.000000,5.000000,8.000000,
73,33,3,herbivore,6.000000,0.000000,144.999954,13.000000,11.000000,11.000000,5.000000,5.000000,8.000000,11.000000,10.000000,0.000000,5.500000,33.000000,5.000000,8.000000,
75,5,18,herbivore,6.000000,0.000000,144.999954,11.000000,7.000000,9.000000,7.000000,9.000000,10.000000,7.000000,10.000000,0.000000,5.000000,24.000000,5.000000,8.000000,
77,5,18,herbivore,6.000000,0.000000,144.999954,11.000000,7.000000,9.000000,7.000000,9.000000,10.000000,7.000000,10.000000,0.000000,5.000000,24.000000,5.000000,8.000000,
78,74,16,carnivore,21.000000,0.000000,23999.984375,12.000000,8.000000,16.000000,8.000000,8.000000,6.000000,8.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
80,74,16,carnivore,21.000000,0.000000,23999.984375,12.000000,8.000000,16.000000,8.000000,8.000000,6.000000,8.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
82,76,18,carnivore,21.000000,0.000000,23999.984375,12.000000,10.000000,14.000000,8.000000,10.000000,5.000000,10.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
84,76,18,carnivore,21.000000,0.000000,23999.984375,12.000000,10.000000,14.000000,8.000000,10.000000,5.000000,10.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
86,4,4,carnivore,15.000000,0.000000,6085.061523,12.000000,10.000000,16.000000,7.000000,8.000000,4.000000,10.000000,10.000000,0.000000,2.750000,28.000000,4.000000,8.000000,
88,4,4,carnivore,15.000000,0.000000,6085.061523,12.000000,10.000000,16.000000,7.000000,8.000000,4.000000,10.000000,10.000000,0.000000,2.750000,28.000000,4.000000,8.000000,
79,1,10,herbivore,9.000000,0.000000,757.724487,15.000000,9.000000,10.000000,6.000000,6.000000,11.000000,9.000000,10.000000,0.000000,4.750000,45.000000,5.000000,8.000000,
81,1,10,herbivore,9.000000,0.000000,757.724487,15.000000,9.000000,10.000000,6.000000,6.000000,11.000000,9.000000,10.000000,0.000000,4.750000,45.000000,5.000000,8.000000,
83,33,17,herbivore,9.000000,0.000000,757.724487,13.000000,13.000000,9.000000,7.000000,5.000000,9.000000,13.000000,10.000000,0.000000,5.500000,33.000000,6.000000,9.000000,
85,33,17,herbivore,9.000000,0.000000,757.724487,13.000000,13.000000,9.000000,7.000000,5.000000,9.000000,13.000000,10.000000,0.000000,5.500000,33.000000,6.000000,9.000000,
87,5,13,herbivore,15.000000,0.000000,6085.061523,11.000000,5.000000,9.000000,6.000000,9.000000,9.000000,5.000000,10.000000,0.000000,4.500000,24.000000,6.000000,9.000000,
89,5,13,herbivore,15.000000,0.000000,6085.061523,11.000000,5.000000,9.000000,6.000000,9.000000,9.000000,5.000000,10.000000,0.000000,4.500000,24.000000,6.000000,9.000000,
90,74,9,carnivore,15.000000,0.000000,6085.061523,12.000000,6.000000,16.000000,8.000000,9.000000,8.000000,6.000000,10.000000,0.000000,1.750000,28.000000,3.000000,6.000000,
92,74,9,carnivore,15.000000,0.000000,6085.061523,12.000000,6.000000,16.000000,8.000000,9.000000,8.000000,6.000000,10.000000,0.000000,1.750000,28.000000,3.000000,6.000000,
94,78,17,carnivore,21.000000,0.000000,23999.984375,13.000000,8.000000,17.000000,7.000000,7.000000,3.000000,8.000000,10.000000,0.000000,2.250000,33.000000,5.000000,8.000000,
96,78,17,carnivore,21.000000,0.000000,23999.984375,13.000000,8.000000,17.000000,7.000000,7.000000,3.000000,8.000000,10.000000,0.000000,2.250000,33.000000,5.000000,8.000000,
98,84,6,carnivore,21.000000,0.000000,23999.984375,11.000000,10.000000,14.000000,9.000000,10.000000,7.000000,10.000000,10.000000,0.000000,2.000000,24.000000,5.000000,7.000000,
100,84,6,carnivore,21.000000,0.000000,23999.984375,11.000000,10.000000,14.000000,9.000000,10.000000,7.000000,10.000000,10.000000,0.000000,2.000000,24.000000,5.000000,7.000000,
91,1,8,herbivore,9.000000,0.000000,757.724487,14.000000,9.000000,11.000000,6.000000,6.000000,10.000000,9.000000,10.000000,0.000000,5.000000,39.000000,6.000000,9.000000,
93,1,8,herbivore,9.000000,0.000000,757.724487,14.000000,9.000000,11.000000,6.000000,6.000000,10.000000,9.000000,10.000000,0.000000,5.000000,39.000000,6.000000,9.000000,
95,33,4,herbivore,6.000000,0.000000,144.999954,12.000000,13.000000,9.000000,7.000000,5.000000,10.000000,13.000000,10.000000,0.000000,6.250000,28.000000,6.000000,9.000000,
97,33,4,herbivore,6.000000,0.000000,144.999954,12.000000,13.000000,9.000000,7.000000,5.000000,10.000000,13.000000,10.000000,0.000000,6.250000,28.000000,6.000000,9.000000,
99,79,11,herbivore,9.000000,0.000000,757.724487,15.000000,7.000000,12.000000,5.000000,5.000000,11.000000,7.000000,10.000000,0.000000,4.250000,45.000000,5.000000,8.000000,
101,79,11,herbivore,9.000000,0.000000,757.724487,15.000000,7.000000,12.000000,5.000000,5.000000,11.000000,7.000000,10.000000,0.000000,4.250000,45.000000,5.000000,8.000000,
102,98,10,carnivore,21.000000,0.000000,23999.984375,12.000000,9.000000,15.000000,9.000000,11.000000,4.000000,9.000000,10.000000,0.000000,1.500000,28.000000,4.000000,7.000000,
104,98,10,carnivore,21.000000,0.000000,23999.984375,12.000000,9.000000,15.000000,9.000000,11.000000,4.000000,9.000000,10.000000,0.000000,1.500000,28.000000,4.000000,7.000000,
106,78,10,carnivore,9.000000,0.000000,757.724487,12.000000,7.000000,19.000000,5.000000,6.000000,2.000000,7.000000,10.000000,0.000000,2.500000,28.000000,3.000000,6.000000,
108,78,10,carnivore,9.000000,0.000000,757.724487,12.000000,7.000000,19.000000,5.000000,6.000000,2.000000,7.000000,10.000000,0.000000,2.500000,28.000000,3.000000,6.000000,
110,84,13,carnivore,15.000000,0.000000,6085.061523,11.000000,9.000000,13.000000,9.000000,11.000000,8.000000,9.000000,10.000000,0.000000,2.000000,24.000000,4.000000,7.000000,
112,84,13,carnivore,15.000000,0.000000,6085.061523,11.000000,9.000000,13.000000,9.000000,11.000000,8.000000,9.000000,10.000000,0.000000,2.000000,24.000000,4.000000,7.000000,
103,93,19,herbivore,6.000000,0.000000,144.999954,13.000000,9.000000,12.000000,6.000000,5.000000,7.000000,9.000000,10.000000,0.000000,4.750000,33.000000,4.000000,8.000000,
105,93,19,herbivore,6.000000,0.000000,144.999954,13.000000,9.000000,12.000000,6.000000,5.000000,7.000000,9.000000,10.000000,0.000000,4.750000,33.000000,4.000000,8.000000,
107,33,12,herbivore,6.000000,0.000000,144.999954,13.000000,13.000000,7.000000,7.000000,5.000000,11.000000,13.000000,10.000000,0.000000,6.000000,33.000000,6.000000,9.000000,
109,33,12,herbivore,6.000000,0.000000,144.999954,13.000000,13.000000,7.000000,7.000000,5.000000,11.000000,13.000000,10.000000,0.000000,6.000000,33.000000,6.000000,9.000000,
111,79,4,herbivore,9.000000,0.000000,757.724487,14.000000,7.000000,13.000000,5.000000,5.000000,9.000000,7.000000,10.000000,0.000000,5.000000,39.000000,6.000000,9.000000,
113,79,4,herbivore,9.000000,0.000000,757.724487,14.000000,7.000000,13.000000,5.000000,5.000000,9.000000,7.000000,10.000000,0.000000,5.000000,39.000000,6.000000,9.000000,
114,98,21,carnivore,21.000000,0.000000,23999.984375,14.000000,8.000000,13.000000,11.000000,13.000000,5.000000,8.000000,10.000000,0.000000,0.250000,39.000000,3.000000,5.000000,
116,98,21,carnivore,21.000000,0.000000,23999.984375,14.000000,8.000000,13.000000,11.000000,13.000000,5.000000,8.000000,10.000000,0.000000,0.250000,39.000000,3.000000,5.000000,
118,78,6,carnivore,4.000000,6.000000,44.857704,12.000000,6.000000,18.000000,7.000000,7.000000,3.000000,6.000000,10.000000,0.000000,2.250000,28.000000,1.000000,5.000000,
120,78,6,carnivore,4.000000,6.000000,44.857704,12.000000,6.000000,18.000000,7.000000,7.000000,3.000000,6.000000,10.000000,0.000000,2.250000,28.000000,1.000000,5.000000,
122,84,0,carnivore,15.000000,0.000000,6085.061523,12.000000,9.000000,14.000000,9.000000,11.000000,5.000000,9.000000,10.000000,0.000000,2.250000,28.000000,4.000000,7.000000,
124,84,0,carnivore,15.000000,0.000000,6085.061523,12.000000,9.000000,14.000000,9.000000,11.000000,5.000000,9.000000,10.000000,0.000000,2.250000,28.000000,4.000000,7.000000,
115,93,19,herbivore,9.000000,0.000000,757.724487,12.000000,9.000000,13.000000,5.000000,5.000000,7.000000,9.000000,10.000000,0.000000,5.250000,28.000000,6.000000,9.000000,
117,93,19,herbivore,9.000000,0.000000,757.724487,12.000000,9.000000,13.000000,5.000000,5.000000,7.000000,9.000000,10.000000,0.000000,5.250000,28.000000,6.000000,9.000000,
119,33,7,herbivore,6.000000,0.000000,144.999954,14.000000,10.000000,8.000000,7.000000,5.000000,8.000000,10.000000,10.000000,0.000000,5.750000,39.000000,5.000000,8.000000,
121,33,7,herbivore,6.000000,0.000000,144.999954,14.000000,10.000000,8.000000,7.000000,5.000000,8.000000,10.000000,10.000000,0.000000,5.750000,39.000000,5.000000,8.000000,
123,79,0,herbivore,9.000000,0.000000,757.724487,12.000000,5.000000,14.000000,6.000000,6.000000,11.000000,5.000000,10.000000,0.000000,4.750000,28.000000,5.000000,8.000000,
125,79,0,herbivore,9.000000,0.000000,757.724487,12.000000,5.000000,14.000000,6.000000,6.000000,11.000000,5.000000,10.000000,0.000000,4.750000,28.000000,5.000000,8.000000,
126,124,2,carnivore,21.000000,0.000000,23999.984375,13.000000,11.000000,14.000000,8.000000,9.000000,5.000000,11.000000,10.000000,0.000000,2.750000,33.000000,5.000000,8.000000,
128,124,2,carnivore,21.000000,0.000000,23999.984375,13.000000,11.000000,14.000000,8.000000,9.000000,5.000000,11.000000,10.000000,0.000000,2.750000,33.000000,5.000000,8.000000,
130,78,0,carnivore,9.000000,0.000000,757.724487,12.000000,6.000000,19.000000,8.000000,7.000000,3.000000,6.000000,10.000000,0.000000,1.750000,28.000000,2.000000,5.000000,
132,78,0,carnivore,9.000000,0.000000,757.724487,12.000000,6.000000,19.000000,8.000000,7.000000,3.000000,6.000000,10.000000,0.000000,1.750000,28.000000,2.000000,5.000000,
134,84,6,carnivore,21.000000,0.000000,23999.984375,12.000000,8.000000,15.000000,9.000000,10.000000,6.000000,8.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
136,84,6,carnivore,21.000000,0.000000,23999.984375,12.000000,8.000000,15.000000,9.000000,10.000000,6.000000,8.000000,10.000000,0.000000,2.000000,28.000000,5.000000,8.000000,
127,93,8,herbivore,15.000000,0.000000,6085.061523,13.000000,8.000000,13.000000,7.000000,5.000000,8.000000,8.000000,10.000000,0.000000,5.000000,33.000000,7.000000,10.000000,
129,93,8,herbivore,15.000000,0.000000,6085.061523,13.000000,8.000000,13.000000,7.000000,5.000000,8.000000,8.000000,10.000000,0.000000,5.000000,33.000000,7.000000,10.000000,
131,115,0,herbivore,6.000000,0.000000,144.999954,12.000000,9.000000,12.000000,6.000000,5.000000,7.000000,9.000000,10.000000,0.000000,5.500000,28.000000,5.000000,8.000000,
133,115,0,herbivore,6.000000,0.000000,144.999954,12.000000,9.000000,12.000000,6.000000,5.000000,7.000000,9.000000,10.000000,0.000000,5.500000,28.000000,5.000000,8.000000,
135,79,15,herbivore,15.000000,0.000000,6085.061523,11.000000,5.000000,14.000000,5.000000,6.000000,11.000000,5.000000,10.000000,0.000000,5.000000,24.000000,7.000000,9.000000,
137,79,15,herbivore,15.000000,0.000000,6085.061523,11.000000,5.000000,14.000000,5.000000,6.000000,11.000000,5.000000,10.000000,0.000000,5.000000,24.000000,7.000000,9.000000,
138,124,17,carnivore,21.000000,0.000000,23999.984375,12.000000,12.000000,14.000000,7.000000,8.000000,5.000000,12.000000,10.000000,0.000000,2.750000,28.000000,5.000000,7.000000,
140,124,17,carnivore,21.000000,0.000000,23999.984375,12.000000,12.000000,14.000000,7.000000,8.000000,5.000000,12.000000,10.000000,0.000000,2.750000,28.000000,5.000000,7.000000,
142,78,0,carnivore,9.000000,0.000000,757.724487,13.000000,8.000000,18.000000,5.000000,5.000000,1.000000,8.000000,10.000000,0.000000,2.000000,33.000000,3.000000,6.000000,
144,78,0,carnivore,9.000000,0.000000,757.724487,13.000000,8.000000,18.000000,5.000000,5.000000,1.000000,8.000000,10.000000,0.000000,2.000000,33.000000,3.000000,6.000000,
146,84,16,carnivore,15.000000,0.000000,6085.061523,11.000000,9.000000,15.000000,8.000000,9.000000,6.000000,9.000000,10.000000,0.000000,2.250000,24.000000,4.000000,7.000000,
148,84,16,carnivore,15.000000,0.000000,6085.061523,11.000000,9.000000,15.000000,8.000000,9.000000,6.000000,9.000000,10.000000,0.000000,2.250000,24.000000,4.000000,7.000000,
139,93,1,herbivore,15.000000,0.000000,6085.061523,14.000000,8.000000,12.000000,9.000000,5.000000,7.000000,8.000000,10.000000,0.000000,4.750000,39.000000,6.000000,9.000000,
141,93,1,herbivore,15.000000,0.000000,6085.061523,14.000000,8.000000,12.000000,9.000000,5.000000,7.000000,8.000000,10.000000,0.000000,4.750000,39.000000,6.000000,9.000000,
143,115,12,herbivore,9.000000,0.000000,757.724487,10.000000,9.000000,12.000000,9.000000,6.000000,8.000000,9.000000,10.000000,0.000000,5.500000,20.000000,6.000000,9.000000,
145,115,12,herbivore,9.000000,0.000000,757.724487,10.000000,9.000000,12.000000,9.000000,6.000000,8.000000,9.000000,10.000000,0.000000,5.500000,20.000000,6.000000,9.000000,
147,79,18,herbivore,15.000000,0.000000,6085.061523,14.000000,6.000000,13.000000,5.000000,6.000000,10.000000,6.000000,10.000000,0.000000,4.500000,39.000000,6.000000,9.000000,
